ProbeID	SYMBOL	cluster
GI_42490763-S	ELOVL1	16
GI_5453923-S	POLD2	6
Hs.170303-S	---	11
Hs.497588-S	---	3
GI_44680134-A	BDH1	3
GI_13027798-S	MMP1	20
GI_23957707-S	LPCAT4	13
Hs.450384-S	NPM1	11
GI_20336200-A	ATM	4
GI_14249519-S	FAM136A	9
GI_37546364-S	METTL1	11
Hs.5855-S	LOC100288152	11
GI_7662357-S	ENPP4	13
GI_23238227-S	CHST7	16
GI_21362021-S	ZNF419	4
GI_27363487-S	C1QC	12
GI_32313609-S	---	10
GI_11415027-S	TCL1A	1
GI_4506742-S	RPS8	2
hmm22840-S	FLYWCH1	11
GI_4506890-S	SET	2
GI_34594668-S	MOB2	18
GI_33598945-A	PLCG1	6
GI_26787961-A	AGER	6
GI_42734326-S	RAP1GAP2	19
GI_5174578-S	FOXO4	15
Hs.302274-S	---	11
GI_10092690-S	TJP3	11
GI_21717806-S	TBC1D31	4
GI_31541779-S	CYB561D2	16
GI_19387853-S	NTNG2	15
GI_31341948-S	PRSS30P	19
GI_5730038-S	SETMAR	2
GI_27734858-S	RNF175	11
GI_22907038-S	APOBEC3C	15
hmm10292-S	---	11
GI_14043043-A	CCR9	11
hmm30425-S	---	12
GI_10092596-S	MCOLN1	18
GI_17975596-S	SELM	9
GI_7262383-A	KLRC1	11
Hs.147489-S	---	19
GI_5031940-S	NFIB	20
GI_11496992-S	PARP3	10
GI_22050996-S	PALD1	10
GI_31747574-S	CLEC5A	7
GI_38327528-I	INSIG1	17
GI_45505152-S	NCKAP1	20
GI_34486095-S	RPL28	10
GI_34577058-S	PLIN2	17
GI_5454165-S	VTI1B	14
hmm13194-S	MTHFD2L	11
GI_33187364-S	EIF5A2	13
GI_38679901-S	TMEM44	18
GI_18426907-I	SIRPG	3
GI_15812191-S	FBXO6	14
GI_21614498-S	EZR	9
GI_5174428-S	ACAA2	14
GI_34303962-A	POGLUT1	4
GI_7662339-S	MORC2	9
GI_32261299-S	CYHR1	6
GI_20127480-S	EPM2A	4
GI_15718683-S	SERTAD3	17
GI_23312365-S	TNFRSF1B	16
GI_18598508-S	CDR2	3
GI_31377717-S	GREM2	12
GI_34147566-S	GUK1	15
GI_5031962-S	STUB1	15
GI_35038563-S	KIAA0922	12
GI_31542938-S	HPGD	11
GI_23199980-S	WIPF2	18
GI_40018619-S	TBC1D2B	7
GI_21264601-S	LAMA5	1
GI_37594468-A	HIBCH	4
GI_11386190-S	EIF2D	9
GI_29171761-S	GSC	12
GI_40353205-S	C6orf106	18
GI_25306276-S	GFM1	5
GI_15011919-S	NHP2	9
GI_14211872-S	EBPL	2
GI_34222262-S	ITPRIPL1	13
GI_9955969-A	ABCC3	20
GI_7706468-S	KLF2	15
GI_21686972-S	---	18
GI_37543779-S	AMN1	2
GI_21265083-S	MRPL1	4
GI_39777595-S	TGIF2	15
GI_10864022-S	ZBED5	2
GI_4505304-S	MYL5	18
GI_22749246-S	CNST	8
GI_6912575-S	PADI4	7
GI_19924146-A	TCIRG1	18
GI_11386142-S	SERPINF2	10
GI_7669480-S	BNIP3	4
GI_20270264-A	FCRL2	1
GI_14602425-S	SEC62	5
GI_21361911-S	DNAJC1	14
GI_40255030-S	GSDMD	18
GI_24475858-S	ZNF101	3
GI_20127469-S	EEF1E1	2
GI_29789109-S	TMCC3	18
GI_41327765-A	ARMCX2	11
GI_37542865-S	---	11
GI_41872473-S	ETV6	18
GI_7662489-S	PPP6R1	18
hmm23672-S	---	8
GI_22059218-S	KLHL14	11
GI_40217837-I	WDR4	9
GI_31982935-S	SGPL1	14
GI_38679886-A	SRI	14
GI_31543978-S	ZBTB16	15
GI_40549452-S	ZBTB7A	18
GI_38455386-S	ENPP5	13
GI_27754203-S	---	16
GI_40789255-S	SRP72	2
GI_24308126-S	DNAJC10	5
GI_8051633-S	RARRES3	13
GI_11761623-I	ST7	20
GI_20143965-A	KIF23	10
GI_23308510-S	ZFP3	4
GI_34147689-S	DENND2D	4
GI_37545966-S	YLPM1	11
GI_42658518-S	ZNF789	4
GI_34577121-S	NFKB1	9
GI_4505878-S	PLEK	17
hmm18828-S	BEX2	3
hmm18872-S	---	12
GI_7549806-S	FBXW2	15
GI_22779931-A	SYNE1	13
GI_19923143-S	MYD88	16
GI_24308244-S	RMI2	11
GI_4758815-S	NMT2	3
GI_6912245-S	CD3EAP	10
GI_34304384-S	YKT6	15
GI_42476122-S	RUSC1	18
GI_11024703-S	TRMT13	4
GI_31542585-S	EIF4EBP2	14
GI_34147356-S	DDA1	17
GI_20302170-A	TLR9	10
Hs.444414-S	---	1
GI_19923628-I	FCRL2	1
GI_31742531-S	DIAPH1	15
GI_22035666-S	TOB1	17
GI_24430211-S	IL23R	12
GI_32307162-A	AKT3	11
Hs.473110-S	---	12
GI_41152089-S	PDZK1IP1	20
GI_37551767-S	TMEM181	13
GI_23238205-S	TNFRSF13B	1
GI_22538439-I	CTSC	14
GI_31377626-S	NOC3L	4
GI_31652245-I	TNFRSF19	11
GI_42794755-S	ACSL5	4
GI_4557468-S	AP2B1	15
GI_23503246-S	TCEAL8	4
GI_4501944-S	ADM	17
GI_8923465-S	TMEM127	16
GI_31543450-S	PRELID1	16
GI_42660343-S	DICER1-AS1	6
GI_38455426-S	CCT4	2
GI_42544176-S	CR2	11
GI_31542714-S	TUG1	5
GI_21359925-S	HMG20A	2
GI_11034834-I	---	4
Hs.443284-S	---	11
GI_34147619-S	EHD4	12
GI_5031816-S	KATNB1	18
GI_7662375-S	FAM13A	7
GI_41393552-S	MGLL	20
GI_7657436-S	SESN1	3
GI_21237762-S	CD9	20
hmm19321-S	PRKCQ-AS1	3
GI_45593129-S	GNL3	4
GI_38027945-S	COPS6	12
GI_7662449-S	FAN1	6
GI_4504222-S	GUSB	18
GI_34147575-S	IL32	13
GI_41327778-S	DDX55	6
GI_27498545-S	CCDC167	9
GI_16753217-S	PURA	18
GI_32483393-A	CLTB	15
GI_4504878-S	KLRB1	19
Hs.515625-S	---	13
Hs.483404-S	---	11
Hs.12346-S	---	8
GI_5031560-S	GPA33	11
GI_31341800-S	C5orf51	4
GI_22208962-S	ASB2	12
GI_20127596-S	HES4	16
Hs.132571-S	---	1
GI_42659368-S	PDCD11	8
GI_13376622-S	THOC7	2
Hs.469446-S	---	1
GI_6552326-A	CYB5R3	20
GI_23065549-S	GSTM2	11
GI_8922630-S	EXD2	2
GI_22779933-S	WDR19	6
GI_37059768-S	LRRC34	11
hmm26735-S	SOGA1	12
GI_12232418-S	S100PBP	5
Hs.348088-S	---	8
hmm20898-S	---	11
GI_24797070-S	HLA-E	14
GI_31542705-S	PUS7	11
GI_42476016-S	ACPL2	5
GI_42656629-S	RPL22	5
GI_34147470-S	VPS26B	18
GI_15431296-A	RPL13	9
Hs.464549-S	---	12
GI_20336200-I	---	6
GI_19743812-I	ITGB1	13
GI_34101281-S	SCNN1D	6
GI_4826975-S	RCE1	15
GI_8922070-S	ZNF821	13
GI_26051274-S	KCNMB4	11
GI_34304340-A	PDCD4	5
GI_27894367-S	NOTCH1	15
GI_12408645-S	CAPN2	13
GI_18104977-S	PTPN1	13
GI_40549458-S	YPEL1	19
GI_38045937-S	RNF144A	3
GI_13376227-S	HDAC11	13
GI_38708010-S	---	6
GI_12545403-S	ICAM5	12
GI_17978482-A	VPS16	18
GI_24308106-S	SZRD1	15
GI_21362099-S	ELOVL4	3
GI_29738101-S	---	8
Hs.452445-S	---	8
GI_21536348-A	ASIC1	11
GI_20143934-I	RLN2	2
GI_7705727-S	CUTC	2
GI_7706780-I	ZNF226	4
GI_17402874-I	COL6A2	19
GI_8923721-S	UTP6	5
GI_32130537-S	CD7	19
GI_15451935-I	CDC14B	20
GI_39995073-A	CDKN2D	15
GI_20070341-S	TMEM62	18
GI_22538484-S	PRPSAP2	2
GI_41055203-A	KLC1	14
GI_27883865-S	RIC8A	14
GI_17402905-S	RPL22	2
GI_7706199-S	THEM6	9
GI_23110931-A	PSMB9	9
GI_41406063-S	MYH10	11
GI_21361093-S	IKBKG	15
GI_11038671-A	CD79A	1
GI_19923781-S	LILRB1	16
GI_42661295-S	---	5
GI_40255084-S	UBQLNL	6
GI_30315657-A	SPTBN1	2
GI_25121986-S	NCAPH	13
Hs.27373-S	FAM174B	11
GI_37694064-A	EBAG9	2
GI_4507546-S	TM7SF2	6
GI_4505430-S	NPAT	4
Hs.465651-S	---	8
GI_12025669-S	ACTN1	20
GI_5729809-S	EBP	12
GI_34147460-S	TMBIM1	18
GI_31083143-A	AXIN1	15
GI_22035639-S	MGST2	7
GI_17017971-S	RPL26L1	2
GI_16753232-S	TLN1	20
GI_37655176-S	ZNF415	11
GI_30148676-S	LOC100288897	12
GI_15812219-S	RPL31	2
GI_33186919-S	---	7
GI_7706484-S	TRAP1	6
GI_38683837-S	CD47	14
GI_8923476-S	TMEM160	15
GI_40018632-S	IDI1	17
GI_18087854-S	DYNLL2	17
GI_30026033-S	SLC35B2	17
GI_4505904-S	PMM1	15
GI_40255259-S	PID1	7
GI_13491165-S	PUM1	2
GI_38570100-A	TBC1D8B	11
GI_37551990-S	SIGLEC17P	19
GI_34303933-S	C19orf18	12
Hs.493585-S	---	4
Hs.402644-S	---	5
GI_34222329-S	NOP58	5
GI_41872428-S	TRPC4AP	18
GI_20302136-S	KIAA0125	1
GI_29171688-S	LILRA4	10
GI_10567815-I	GNAO1	12
GI_8051619-A	LIMK2	18
GI_7706342-S	FAM96B	15
GI_34147388-S	PTGES3L-AARSD1	6
GI_31542755-S	PAQR4	16
GI_21914861-A	CECR5	10
GI_37538413-S	MYO1G	12
GI_20070329-S	ZFYVE21	20
GI_38158029-S	SRSF6	3
GI_42656546-S	ANKAR	4
GI_24497598-A	PIGP	2
GI_11496890-S	ADH5	2
GI_40254807-S	PRF1	19
Hs.483054-S	---	11
GI_34147574-S	HTATIP2	16
GI_22749146-S	SH3RF2	13
GI_39725676-S	NUCB1	15
GI_44890067-S	ZMYM4	5
Hs.520721-S	HOXA-AS2	12
GI_4758085-S	CSRP1	16
GI_4809272-S	ANXA4	14
GI_42661849-S	PRSS57	13
GI_17986282-S	TUBA1A	17
GI_41872613-S	CXCL5	20
GI_4557574-S	FAAH	7
GI_39725697-S	CALHM2	16
GI_20357538-A	ATP6V1G2	11
GI_18105053-S	KIFAP3	13
GI_23199997-A	NSUN5	9
GI_21314670-S	TRPM4	7
GI_37546926-S	---	3
GI_41350328-S	MFN2	18
GI_32171185-S	BCAP31	15
GI_21361404-S	RGS17	13
GI_4505042-S	LTF	12
GI_39725675-S	CDK2AP2	15
GI_13236578-S	SLC27A3	16
GI_29746868-S	---	11
GI_19913370-S	TBL1XR1	4
GI_19224662-S	TCEAL2	12
Hs.125087-S	IFI44L	10
GI_31341724-S	C1orf110	12
GI_4504584-S	IFIT1	10
GI_38327597-I	RGS12	16
GI_6552331-S	FLOT1	15
GI_32967299-A	C1QTNF6	11
GI_24797159-S	TAP1	13
GI_13569871-S	LBH	3
GI_7705754-S	PLLP	11
GI_20357549-S	TMEM50A	14
GI_29648312-S	ASPHD2	16
GI_37541410-S	KIAA0556	18
GI_38327035-S	HAGH	9
GI_20149649-S	CHST11	17
GI_7657101-S	PGAP2	3
GI_24307946-S	HABP4	6
Hs.273124-S	---	14
GI_33469950-A	RABGGTA	18
GI_4505672-S	PDE6G	10
GI_7661809-S	TIMM21	4
GI_34147718-S	ZNF688	15
GI_44917605-S	NAPB	13
GI_39995081-S	NSUN2	4
GI_4557580-S	FABP5	5
GI_15812192-S	FBXO7	17
GI_5454109-S	TESK1	15
GI_42659932-S	---	11
GI_24041025-S	NETO2	10
GI_16445440-S	TRIM26	18
GI_5016087-S	ACTA1	12
GI_33859830-S	POLR3C	6
GI_37620211-S	---	11
GI_32698768-S	GNG7	1
GI_22062022-S	TMEM41B	3
GI_34147712-S	TLE1	1
GI_31542322-S	CRIP2	3
GI_12232446-S	CRTC3	3
GI_4505460-S	ENC1	17
GI_16905512-S	RPLP2	3
GI_4504156-S	CXCL3	17
GI_4885552-S	---	6
GI_29735368-S	PP7080	3
GI_40538800-S	TMEM200A	2
GI_11968044-S	INF2	6
GI_40255000-S	N4BP2L2	4
GI_42734322-S	ZSWIM8	18
GI_4507840-S	UQCRC1	15
Hs.325015-S	---	11
GI_10835118-S	MYO5A	17
GI_37546892-S	PKDCC	12
GI_34147499-S	PPP1R2	2
GI_4503412-S	HBEGF	17
GI_4502896-S	CLPTM1	15
GI_40789232-S	COQ9	4
GI_16418408-S	TMEM123	2
GI_13514830-S	DDX10	2
GI_22095361-S	GLIPR2	7
GI_19923670-S	FOXP1	3
GI_33589822-S	PDK4	7
GI_45007001-S	CERS6	12
GI_34147599-S	CD99	19
GI_44680142-I	SLC23A1	11
GI_40789269-S	ZNF573	4
GI_44917611-S	KIF1C	12
GI_23110988-I	MS4A1	1
GI_19923916-S	SHKBP1	15
GI_4505612-S	PAWR	11
GI_42822890-S	MIEN1	12
GI_9951914-S	AHCY	10
GI_45439368-S	IER5	17
GI_8923351-S	MAP4K4	2
GI_40255167-S	TSHZ2	3
GI_23463298-S	ST13P4	5
GI_16950602-S	MRPS35	2
GI_38201711-A	DDX17	4
GI_25286702-S	KIAA2013	15
GI_34147648-S	TLE2	6
GI_42659734-S	---	5
GI_28144902-S	IL23A	3
Hs.462423-S	---	11
GI_22538815-S	CCL8	10
GI_23110999-S	MS4A7	16
GI_21361780-S	MAP7D1	15
GI_4504884-I	KLRC3	13
GI_38683842-S	DNPH1	9
GI_7657464-S	PODXL2	11
GI_24475860-S	PHPT1	15
GI_40254883-S	SSH1	14
GI_33519472-S	NDFIP1	2
GI_31542206-S	FAM129C	1
GI_29728071-S	TBC1D9	5
GI_31340578-S	IQCG	5
GI_38570088-S	RCBTB2	14
Hs.145444-S	---	8
GI_4503752-I	FLT4	12
GI_4557830-S	PCBD1	14
Hs.171301-S	---	8
GI_33469981-S	BLK	1
GI_11321629-S	NR1H2	15
GI_33620772-S	KIAA0020	4
GI_4758707-S	LY86	7
GI_24308353-S	C16orf45	12
GI_13904869-S	RPS5	9
GI_4503954-S	BLOC1S1	12
GI_37552523-S	---	4
GI_22748722-S	ACOT4	13
Hs.493281-S	---	12
GI_4758893-S	PET112	10
GI_28827773-S	DYRK4	4
GI_27885012-S	C19orf59	7
GI_37538683-S	MKLN1-AS1	2
GI_31543422-S	POLE3	9
hmm2974-S	MCF2L	8
GI_32698695-S	TMEM97	9
Hs.508436-S	RABGAP1L	2
GI_4503718-S	FHIT	3
GI_5453997-S	IPO7	2
GI_4506116-S	PROS1	20
GI_4759181-S	STX1A	20
GI_29736110-S	LINC00239	13
hmm24546-S	PRSS57	12
GI_34335234-A	CORO2A	13
GI_21071045-A	SMARCA1	11
GI_4507810-S	UGCG	8
GI_10835092-S	PTTG2	9
Hs.501419-S	---	12
GI_5453610-S	CD28	3
GI_37550602-S	RPL22L1	2
GI_10835046-S	SGCE	13
GI_42662295-S	---	18
GI_4759187-S	STX8	9
GI_21396476-A	MEOX1	11
GI_7662125-S	SIPA1L1	16
GI_13376499-S	---	6
GI_37563696-S	MEI1	6
GI_41150782-S	OXLD1	4
GI_33239442-A	SYPL1	2
GI_27886565-A	MALT1	5
GI_24497529-I	---	12
GI_34147606-S	CNPPD1	15
GI_13375645-S	LRFN3	13
GI_4507128-S	SNRPE	5
GI_38455419-S	RCAN3	11
GI_21717802-S	NSUN5P1	6
Hs.466809-S	---	7
Hs.137587-S	LOC643733	3
GI_40788009-S	CD55	2
GI_33356546-S	MCM2	9
GI_4506812-S	SCN9A	10
GI_4557650-S	HSF4	6
hmm11379-S	RAB3GAP1	8
GI_42656307-S	EML6	11
GI_5902089-S	SLC2A3	18
GI_4758913-S	LITAF	13
GI_5453556-S	ARIH2	6
Hs.506072-S	LOC100506548	11
GI_21361508-S	---	15
GI_20270354-S	GALM	13
GI_20336247-S	PCSK7	18
GI_31542717-S	ECHDC3	10
GI_34147526-S	TP53I13	18
GI_21704278-A	JAG2	12
GI_9910203-S	---	15
GI_5729764-S	CGRRF1	17
Hs.511682-S	---	12
GI_21464103-S	YWHAQ	13
GI_4758719-S	MLLT3	3
GI_4557552-S	EMD	15
GI_4502408-S	BICD1	11
GI_28872747-S	HIST3H2A	14
GI_34147601-S	ARHGDIA	15
GI_39812361-S	PSMD8	9
GI_31543823-S	TREM1	17
GI_14574570-S	BCL2A1	17
GI_7657045-S	UBE2S	15
hmm5973-S	MYO15B	7
GI_40288196-S	GATA6	12
GI_37540292-S	FAM221B	12
GI_42660445-S	---	14
GI_8923935-S	USE1	5
GI_21361484-S	TBC1D10B	15
GI_4507686-S	TRPC3	12
GI_31342330-S	TREML1	20
GI_38524593-S	TIPARP	17
GI_4504522-S	---	2
GI_34147657-S	DDIT3	17
GI_11968153-S	KIR2DL5A	19
Hs.284257-S	---	16
GI_32189374-S	SGCB	13
GI_34787408-S	RALGAPB	17
GI_7662409-S	SBNO2	15
GI_38372922-A	BSG	15
GI_7106298-S	ATXN10	2
GI_4758733-S	PMPCB	2
GI_7661727-S	LAMTOR2	16
GI_37059745-S	PEX5	9
GI_25072198-S	C11orf82	7
GI_42656231-S	---	17
GI_20336295-S	DDX28	10
GI_42659994-S	---	3
GI_42741681-S	ZRANB2	4
GI_19923444-A	ATL1	20
GI_28610150-S	IL7R	3
GI_4503536-S	EIF4EBP3	14
GI_38679979-A	ACACA	9
GI_15451873-I	B3GALNT1	11
GI_45243513-A	ABCB9	11
GI_21314761-S	MCEE	2
GI_23510357-A	RIOK1	2
hmm21427-S	---	12
GI_24371267-S	NAP1L5	13
GI_28872721-S	BTG3	17
GI_34304321-S	MRPL45	5
GI_19743853-A	DCN	12
GI_42544116-I	ENOSF1	11
GI_19718758-A	MYOF	16
GI_31542523-S	VOPP1	13
GI_21389390-S	FOPNL	2
GI_6006009-S	ITGA2B	20
Hs.452714-S	---	8
GI_42658709-S	RPL15	5
GI_30156248-S	---	17
GI_14141194-S	SDF2	14
GI_33186904-S	OMA1	2
GI_34147343-S	GRAMD1A	6
GI_21361293-S	KLRG1	13
GI_37546893-S	MTA3	11
GI_4505462-S	CNTNAP1	6
GI_31343330-S	RAB37	19
GI_4885170-S	MAMLD1	13
GI_24429563-I	---	5
GI_9506614-S	PRMT7	6
Hs.472282-S	---	8
GI_8922406-S	FIGN	12
Hs.378028-S	---	8
GI_4504542-S	HTR3A	12
GI_10864068-S	TMEM8A	15
GI_42661179-S	TBKBP1	13
GI_32481208-A	MAPKAPK2	15
GI_20336333-A	BCL2L1	20
hmm20063-S	---	12
GI_4885062-S	ALDOC	9
GI_21389336-S	RPIA	2
GI_4505288-S	MVD	18
GI_40068460-S	TWF2	15
GI_24429565-I	PDE7A	2
GI_5902003-S	MMP23B	19
GI_14149701-S	RNF167	15
GI_8923455-A	ANKMY1	11
GI_5453622-S	CNKSR1	11
GI_41204979-S	PEAK1	6
GI_21237722-S	ST13	5
GI_34222253-A	P4HTM	6
GI_14150184-S	ZBED3	10
GI_37541363-S	RSL1D1	10
GI_21327681-S	ACADM	4
GI_21361365-S	IFRD2	11
GI_17437334-S	RPLP1	11
GI_24308523-S	TMEM9	9
GI_37552347-S	GPR108	15
GI_7661883-S	HELZ	11
GI_7662075-S	KIAA0355	3
GI_45269143-A	KEAP1	18
GI_29745613-S	TP53INP2	17
GI_28416426-I	ZNF655	2
GI_21735567-S	CEPT1	4
GI_13259507-A	DCTN1	15
GI_20149710-S	SP140L	6
GI_31317254-S	NLGN2	11
GI_42658610-S	MKLN1-AS1	17
GI_8922734-S	ELP2	6
GI_23397652-S	PIGT	15
GI_38505204-S	PTEN	2
GI_31543182-S	---	12
GI_29747364-S	---	8
GI_37655182-S	NDRG1	18
GI_34996490-S	TMEM219	18
GI_31317226-S	EGR1	17
GI_26787987-S	MICB	18
GI_37551029-S	FAM171A1	3
hmm23789-S	---	11
GI_28872795-S	CEBPB	16
GI_37540723-S	RNF214	6
GI_31542742-S	EFHC2	11
GI_4885332-S	FFAR2	17
GI_14211906-S	ZNF347	11
GI_31543199-S	TMUB1	15
GI_14149666-S	SARM1	8
GI_39995085-S	SLC8B1	18
GI_31652256-S	MAFB	17
GI_7706082-S	C1RL	10
GI_40254958-S	ATG9A	18
GI_5174700-S	STK10	18
GI_33946328-S	RALA	4
GI_23312366-S	TNFRSF4	6
GI_40254968-S	NUDT18	15
GI_4757845-S	BCL9	11
GI_4502792-S	CEACAM3	16
Hs.135647-S	RPP40	11
GI_37537711-S	EPB41L4A	12
GI_39725640-S	AKIRIN2	17
GI_23110949-S	CTSD	15
GI_4759059-I	ZFYVE9	11
GI_31543395-S	PGAM1	14
GI_38093656-S	GPRIN3	12
GI_24797075-S	HLA-DPB1	16
GI_33598967-S	LMO7	11
GI_40254985-S	HSDL2	4
GI_23111044-S	SNX4	5
GI_9951921-S	CIB1	18
GI_29746633-S	SLC35E4	12
GI_29736248-S	GNG2	14
GI_22547143-A	FBXO32	13
GI_38327028-S	UBE4A	4
GI_39930484-S	SLC25A25	17
GI_24431972-S	CC2D1A	18
GI_33624820-A	SEPT6	5
GI_31542788-S	EPHX4	13
GI_14211539-S	MOV10	18
GI_12232402-S	C16orf58	6
GI_31542324-S	CROT	18
GI_8922412-S	ANKZF1	6
Hs.519802-S	NPM1	2
GI_42658173-S	SUN1	2
GI_39930468-S	RPF2	5
GI_27544940-S	MYO1F	15
GI_18604602-S	NCAM1	19
hmm19284-S	---	12
GI_45504354-S	MUSTN1	18
GI_21265077-S	MRPL15	2
GI_21362101-S	TMEM168	5
GI_30795226-S	DTD1	9
GI_34447228-S	STX16	11
Hs.463395-S	---	12
GI_34147413-S	NOA1	2
GI_38455425-S	CITED4	15
GI_25952110-S	TNF	17
GI_34222257-S	UFD1L	14
GI_30181232-S	SAP25	6
hmm10299-S	---	11
GI_4505020-S	LRPAP1	16
GI_31563525-S	SLC24A3	20
GI_10938017-S	CCNB2	11
GI_38016942-S	ORAI1	15
GI_14110410-I	HNRNPDL	4
GI_41350332-S	TBCD	18
GI_42544162-S	FCRLA	1
GI_37059748-S	TBC1D15	2
GI_13236586-S	TMEM43	14
Hs.368200-S	---	12
GI_39573729-S	---	18
GI_7662177-S	---	12
GI_16418033-S	N4BP2L1	4
GI_21361309-S	IFI44	10
Hs.276341-S	---	12
GI_38176293-S	ANKDD1A	12
GI_18860901-S	PTPRK	11
GI_31742506-A	UPP1	18
GI_21361550-S	SLC4A2	18
GI_24430131-S	WBP2	20
GI_4758293-S	EPRS	4
GI_28373098-A	ST8SIA4	17
GI_37555948-S	SLC9A8	18
GI_21314629-S	C3AR1	16
GI_4504036-S	GNA11	18
GI_24429565-A	PDE7A	2
GI_27498471-S	ZSCAN23	12
GI_7019440-S	KIR3DL1	19
GI_11545764-S	CXCL16	16
GI_41114517-S	RPS16	8
GI_38570041-S	CLDN5	20
GI_17978490-I	CD97	14
GI_37541022-S	ATG2A	18
GI_27597060-S	UBR2	17
GI_31377633-S	GBP4	14
GI_42476295-S	TPM2	6
GI_4755141-S	INPPL1	18
GI_4758925-S	PITPNM1	15
GI_27734876-S	TYSND1	6
GI_42544225-S	VPS18	18
GI_20127456-S	GYG1	14
GI_38570148-S	WWC3	15
GI_42660906-S	SYCE1L	11
GI_37537720-S	B3GALT6	15
GI_31341922-S	MB21D2	11
GI_6996015-A	LTB	3
Hs.23853-S	ZBTB38	13
GI_31982952-I	POGLUT1	2
GI_21687150-S	SLC25A43	14
GI_27262656-I	---	11
GI_6005726-S	CCT8	4
GI_8922941-S	AGPAT5	2
GI_21361928-S	SLC38A1	3
GI_16117786-A	RPL34	2
GI_11141876-S	SIGIRR	18
GI_14149741-S	CALCOCO1	15
GI_14917108-S	AP2M1	15
GI_38327549-S	LPAR6	2
GI_35038527-S	PASK	3
GI_9257221-S	FOXO1	3
GI_4557436-S	CDC20	10
GI_4507130-S	SNRPF	2
hmm34835-S	---	12
GI_34147389-S	TMEM121	11
GI_9506672-S	MIOS	2
GI_23463288-S	---	5
GI_16418460-S	TOP1MT	10
GI_31377572-S	DUSP18	7
GI_9966880-S	NUP107	2
GI_4505276-S	MTIF2	5
GI_29826334-S	EIF2S2	4
GI_20149642-S	ZNHIT6	4
hmm4390-S	---	12
GI_23503310-S	TAPT1	5
GI_14917112-S	SRPRB	9
GI_39930540-S	C9orf142	18
GI_7662101-S	LRRTM2	12
GI_14149614-S	RPAIN	4
GI_24308321-S	ZCCHC7	4
GI_18105029-A	COLQ	6
GI_28466996-S	DLG5	19
GI_4507996-S	ZBTB17	18
GI_7662231-S	ZC3H11A	2
GI_12408664-A	MAL	3
GI_27485604-S	MAVS	8
Hs.445751-S	---	11
GI_30158043-S	PTPRJ	7
GI_4826763-S	HS3ST1	1
GI_37594443-S	ZMYND10	6
GI_22265328-S	CRADD	14
GI_32895366-I	LILRA5	16
GI_5901987-S	WDR45	18
GI_34303916-S	FOXRED2	10
GI_41281526-S	PAN2	6
GI_13376321-S	---	16
GI_38327530-A	INSIG1	17
GI_19718745-A	OSBPL1A	7
GI_4753158-S	GTF3A	3
GI_12751492-S	PYCRL	9
GI_4502676-S	CD58	14
GI_27436900-S	MRPL12	12
GI_8670549-S	CYTH4	18
GI_27482674-S	PROSER2-AS1	12
GI_40538791-S	NIP7	13
Hs.519917-S	---	12
GI_5174460-S	HCAR3	17
Hs.503601-S	---	12
GI_42476154-S	PTMS	12
GI_32307149-A	OGT	4
GI_14149729-S	SMARCAD1	2
GI_26667176-S	MRPL46	4
Hs.497573-S	DICER1-AS1	8
GI_42662645-S	ZNF275	8
hmm24798-S	---	12
GI_20535873-S	---	12
Hs.205722-S	---	11
GI_29725606-I	UNC45A	18
GI_7019566-S	VPREB3	1
GI_41146530-S	---	5
GI_22749340-S	FAM76A	9
GI_31377534-S	---	13
GI_15451903-S	CD200	1
GI_31317245-A	IL24	11
GI_23618925-S	ZNF559	4
GI_19923275-S	---	7
GI_8051634-S	XPO1	2
GI_37546496-S	SSU72	15
GI_34916035-S	JAKMIP3	11
GI_21362043-S	C9orf89	17
GI_37556035-S	---	5
GI_21237780-S	WASF3	20
GI_7657272-S	KIR2DL2	19
GI_23308524-S	MORC2-AS1	11
GI_7019332-S	NRBP1	18
GI_23510436-A	TNFRSF8	16
GI_6042201-A	MME	11
GI_39725632-S	EXOSC7	9
GI_42658224-S	VWDE	12
GI_14042942-S	TATDN1	5
GI_24307904-S	SPON1	11
Hs.58509-S	LOC100506388	12
GI_33286441-S	BCORL1	18
GI_22538439-A	CTSC	14
GI_37543284-S	ZNF594	4
GI_4557258-S	ADCY9	15
GI_32441282-I	RALGPS2	1
GI_40255235-S	ZNF281	2
GI_29745993-S	ENDOD1	20
GI_14042922-S	TMEM245	2
GI_32698821-S	ZFAND2A	17
GI_6031195-S	PLAGL2	16
GI_20536598-S	LOC100506405	12
GI_5921998-A	DYRK1B	18
GI_29171679-S	CXCR1	19
GI_6912325-S	FAM50B	4
GI_7382489-S	DGAT1	18
GI_5730010-S	RFPL2	11
GI_37545958-S	RBM25	5
GI_16950599-S	MRPS31	4
GI_4758069-S	PTGDR2	16
GI_45269134-S	GP1BA	20
GI_31982944-S	SLC5A10	12
GI_38524617-S	FMNL2	14
Hs.136376-S	---	1
GI_15149469-S	SUZ12	5
GI_37540621-S	NOP14	9
GI_21327676-S	HLA-B	12
Hs.469893-S	---	12
GI_37563645-S	MIAT	12
GI_21536270-I	MPZL2	7
GI_9951918-S	KATNA1	2
GI_21166383-A	HEPH	12
GI_7657197-S	DIMT1	9
GI_38570053-S	LYRM4	10
hmm19899-S	---	12
GI_17017972-S	RPL27	4
GI_27777635-S	TCF3	1
GI_5032046-S	POP7	9
GI_12056464-S	FBL	5
Hs.348319-S	---	8
GI_18765693-S	DPP4	3
